,rent_cost,Area_m2,rooms,Dictrict_8,Dishwasher,Shower_cabin,Bathroom_combined_3,Distance_from_Cremlin,Bathroom_combined_2,Repair_disigne,Ceiling_height_m,Bathroom_combined_4,Parking_underground,Air_conditioner,Repair_cosmetic,House_panel,Bathroom_separate_3,ulitsa_dvor,Bathroom_combined_1,Bathroom_separate_4,House_monolithic_brick,Telephone,House_noun,dvor,Bathroom_combined_0,Television,Parking_paid_yard,House_monolithic,Bathroom_separate_2,Dictrict_1,Dictrict_10,House_block,Pass_lift_1,You_can_with_animals,Dictrict_2,Dictrict_6,Bathroom_separate_1,House_oldfond,Dictrict_9,Loggia_1
11178,50000.0,55.0,2.0,0,False,False,0,9.39,0,0,2.99,0,0,True,0,0,0,0,0,0,0,False,0,1,1,True,0,0,0,0,0,0,1,True,0,0,1,0,0,0
11179,50000.0,35.0,1.0,0,False,False,0,9.48,0,1,2.99,0,0,True,0,0,0,0,0,0,0,False,0,0,1,True,0,0,0,0,0,0,0,False,0,0,1,0,0,1
11180,50000.0,45.0,2.0,0,False,False,0,9.51,0,0,2.64,0,0,False,1,0,0,0,1,0,0,False,0,1,0,False,0,0,0,0,0,1,0,True,0,0,0,0,0,0
11181,54000.0,54.0,2.0,0,False,False,0,10.04,0,0,3.0,0,0,True,1,0,0,0,1,0,0,False,0,0,0,True,0,0,0,0,0,0,1,False,1,0,0,0,0,0
11182,55000.0,57.0,2.0,0,False,False,0,10.17,0,0,2.7,0,0,False,1,0,0,0,0,0,1,False,0,1,1,True,0,0,0,0,0,0,0,False,1,0,1,0,0,1
11183,55000.0,56.0,2.0,0,False,False,0,10.43,0,0,2.99,0,0,False,0,0,0,0,0,0,0,False,0,0,1,False,0,0,0,0,0,0,1,True,1,0,1,0,0,0
11184,55000.0,60.0,3.0,0,False,True,0,10.1,0,0,2.7,0,0,False,0,0,0,0,0,0,0,False,0,1,1,False,0,0,0,0,0,0,1,True,0,0,1,0,0,0
11185,55000.0,39.0,1.0,0,True,True,0,10.34,0,0,3.0,0,0,True,0,1,0,0,1,0,0,False,0,1,0,False,0,0,0,0,0,0,0,False,0,0,0,0,0,0
11186,55000.0,54.0,2.0,0,False,False,0,10.3,0,0,2.99,0,0,False,1,0,0,0,1,0,0,False,0,1,0,False,0,0,0,0,0,0,1,False,1,0,0,0,0,0
11187,55000.0,55.0,2.0,0,False,False,0,9.4,0,0,2.99,0,0,False,0,0,0,0,1,0,0,True,0,0,0,True,1,0,0,0,0,0,1,True,0,0,0,0,0,0
11188,55400.0,77.0,3.0,0,False,True,0,10.42,0,0,2.64,0,0,False,1,1,0,1,1,0,0,False,0,0,0,False,0,0,0,0,0,0,0,True,0,0,0,0,0,1
11189,55000.0,60.0,2.0,0,True,False,0,10.32,0,0,2.64,0,0,False,1,1,0,0,0,0,0,False,0,0,1,False,1,0,0,0,0,0,0,False,0,0,1,0,0,0
11190,55000.0,57.0,2.0,0,False,False,0,9.18,0,0,3.0,0,0,True,0,0,0,0,0,0,0,False,0,1,1,True,1,0,0,0,0,1,0,False,0,0,1,0,0,0
11191,55000.0,38.0,1.0,0,False,True,0,9.4,0,0,2.64,0,0,False,0,0,0,0,1,0,0,True,0,1,0,True,1,0,0,0,0,1,0,False,0,0,0,0,0,1
